Dataset,Seed,Method,Accuracy,F1 Score,Precision,Recall,Runtime Seconds
COVID-19,42,Normal Logistic Regression,0.9586,0.42016806722689076,0.6578947368421053,0.30864197530864196,0.036458730697631836
COVID-19,42,HE Logistic Regression Inference,0.9586,0.42016806722689076,0.6578947368421053,0.30864197530864196,71.6667070388794
COVID-19,43,Normal Logistic Regression,0.9569,0.40387275242047027,0.6160337552742616,0.3004115226337449,0.018323898315429688
COVID-19,43,HE Logistic Regression Inference,0.9569,0.40387275242047027,0.6160337552742616,0.3004115226337449,71.15816617012024
COVID-19,44,Normal Logistic Regression,0.9557,0.39727891156462586,0.5863453815261044,0.3004115226337449,0.020914077758789062
COVID-19,44,HE Logistic Regression Inference,0.9557,0.39727891156462586,0.5863453815261044,0.3004115226337449,71.07977390289307
COVID-19,45,Normal Logistic Regression,0.9556,0.3657142857142857,0.5981308411214953,0.26337448559670784,0.01849198341369629
COVID-19,45,HE Logistic Regression Inference,0.9556,0.3657142857142857,0.5981308411214953,0.26337448559670784,70.86160707473755
COVID-19,46,Normal Logistic Regression,0.9573,0.4027972027972028,0.62882096069869,0.2962962962962963,0.020469188690185547
COVID-19,46,HE Logistic Regression Inference,0.9573,0.4027972027972028,0.62882096069869,0.2962962962962963,70.8709020614624
