Model,Privacy Setting,Accuracy mean,Accuracy std,F1 Score mean,F1 Score std,Precision mean,Precision std,Recall mean,Recall std,Train Time (s) mean,Train Time (s) std,Predict Time (s) mean,Predict Time (s) std
DP Logistic Regression,DP e=0.1,0.8513,0.0483,0.1396,0.0988,0.1596,0.1374,0.1382,0.0984,0.0018,0.0003,0.0003,0.0001
DP Logistic Regression,DP e=0.5,0.8867,0.0097,0.1806,0.1221,0.3308,0.1378,0.1418,0.1131,0.0023,0.0004,0.0003,0.0001
DP Logistic Regression,DP e=1.0,0.816,0.0441,0.1443,0.1186,0.1345,0.1256,0.1636,0.1213,0.0019,0.0003,0.0003,0.0
DP Logistic Regression,DP e=10.0,0.9013,0.0016,0.027,0.0435,0.22,0.3033,0.0145,0.0237,0.0026,0.0003,0.0003,0.0
DP Logistic Regression,DP e=5.0,0.9016,0.0026,0.0339,0.0479,0.25,0.3536,0.0182,0.0257,0.0026,0.0005,0.0003,0.0
DP Random Forest,DP e=0.1,0.9016,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0004,0.0007,0.0001
DP Random Forest,DP e=0.5,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0104,0.0004,0.0007,0.0001
DP Random Forest,DP e=1.0,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0006,0.0008,0.0001
DP Random Forest,DP e=10.0,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0108,0.0005,0.0007,0.0
DP Random Forest,DP e=5.0,0.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0004,0.0007,0.0001
Logistic Regression,Baseline (No Privacy),0.9012,0.0032,0.0341,0.0482,0.2833,0.3891,0.0182,0.0257,0.0023,0.0007,0.0003,0.0001
Logistic Regression Balanced,Baseline (No Privacy),0.7209,0.0175,0.3494,0.0093,0.2267,0.0089,0.7636,0.034,0.0027,0.0002,0.0004,0.0001
Random Forest,Baseline (No Privacy),0.898,0.0095,0.1164,0.0681,0.4756,0.3547,0.0691,0.0415,0.143,0.0028,0.0051,0.0001
Random Forest Balanced,Baseline (No Privacy),0.9005,0.0036,0.1293,0.0578,0.4329,0.1511,0.0764,0.035,0.1422,0.0048,0.0053,0.0003
